SectionName,Material,Shape,t3,t2,tf,tw,Area,TorsConst,I33,I22,I23,AS2,AS3,S33,S22,Z33,Z22,R33,R22,ConcCol,ConcBeam,Color,TotalWt,TotalMass,FromFile,AMod,A2Mod,A3Mod,JMod,I2Mod,I3Mod,MMod,WMod,SectInFile,FileName,GUID,Notes
TUBO60X30X3.6,A992Fy50,Box/Tube,0.06,0.03,0.0036,0.0036,0.0005962,1.928E-07,2.603E-07,8.285E-08,0,0.000432,0.000216,8.67667E-06,5.52333E-06,0.00001111,0.000006638,0.020894938,0.011788275,No,No,Blue,0,0,Yes,1,1,1,1,1,1,1,1,TUBO60X30X3.6,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO60X30X4,A992Fy50,Box/Tube,0.06,0.03,0.004,0.004,0.000656,2.068E-07,2.822E-07,8.886E-08,0,0.00048,0.00024,9.40667E-06,0.000005924,0.00001213,0.000007208,0.020740852,0.011638613,No,No,Green,0,0,Yes,1,1,1,1,1,1,1,1,TUBO60X30X4,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO60X42X3.6,A992Fy50,Box/Tube,0.06,0.042,0.0036,0.0036,0.0006826,3.562E-07,3.291E-07,0.000000185,0,0.000432,0.0003024,0.00001097,8.80952E-06,0.00001355,0.00001047,0.021957395,0.016462763,No,No,Gray8Dark,0,0,Yes,1,1,1,1,1,1,1,1,TUBO60X42X3.6,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO70X35X3.6,A992Fy50,Box/Tube,0.07,0.035,0.0036,0.0036,0.0007042,0.00000032,4.266E-07,1.377E-07,0,0.000504,0.000252,1.21886E-05,7.86857E-06,0.00001547,0.000009304,0.024612879,0.013983599,No,No,Cyan,0,0,Yes,1,1,1,1,1,1,1,1,TUBO70X35X3.6,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO60X30X4.5,A992Fy50,Box/Tube,0.06,0.03,0.0045,0.0045,0.000729,2.225E-07,3.079E-07,9.564E-08,0,0.00054,0.00027,1.02633E-05,0.000006376,0.00001334,0.000007877,0.020551384,0.011453969,No,No,Cyan,0,0,Yes,1,1,1,1,1,1,1,1,TUBO60X30X4.5,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO60X42X4,A992Fy50,Box/Tube,0.06,0.042,0.004,0.004,0.000752,3.854E-07,3.576E-07,2.001E-07,0,0.00048,0.000336,0.00001192,9.52857E-06,0.00001482,0.00001143,0.021806694,0.016312278,No,No,Blue,0,0,Yes,1,1,1,1,1,1,1,1,TUBO60X42X4,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO70X35X4,A992Fy50,Box/Tube,0.07,0.035,0.004,0.004,0.000776,3.452E-07,4.642E-07,1.484E-07,0,0.00056,0.00028,1.32629E-05,0.00000848,0.00001693,0.00001014,0.024458043,0.013828851,No,No,Red,0,0,Yes,1,1,1,1,1,1,1,1,TUBO70X35X4,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO60X30X5,A992Fy50,Box/Tube,0.06,0.03,0.005,0.005,0.0008,2.363E-07,3.317E-07,1.017E-07,0,0.0006,0.0003,1.10567E-05,0.00000678,0.0000145,0.0000085,0.020362343,0.011274972,No,No,Red,0,0,Yes,1,1,1,1,1,1,1,1,TUBO60X30X5,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO70X49X3.6,A992Fy50,Box/Tube,0.07,0.049,0.0036,0.0036,0.000805,5.852E-07,5.379E-07,3.041E-07,0,0.000504,0.0003528,1.53686E-05,1.24122E-05,0.00001881,0.00001459,0.025849541,0.019436151,No,No,Green,0,0,Yes,1,1,1,1,1,1,1,1,TUBO70X49X3.6,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO60X60X3.6,A992Fy50,Box/Tube,0.06,0.06,0.0036,0.0036,0.0008122,6.459E-07,4.323E-07,4.323E-07,0,0.000432,0.000432,0.00001441,0.00001441,0.0000172,0.0000172,0.023070719,0.023070719,No,No,Blue,0,0,Yes,1,1,1,1,1,1,1,1,TUBO60X60X3.6,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
